ISIN;Nome;Ticker Yahoo
IT0005513202;REVO Insurance;REVO.MI
IT0005218380;Banco BPM;BAMI.MI
LU0779800910;Xtrackers CSI300 Swap UCITS ETF 1C;XCS6.MI
IE00BFXR7900;KraneShares CSI China Internet UCITS ETF EUR;KWBE.MI
IE00BMWXKN31;HSBC Hang Seng Tech UCITS ETF;HSTE.L
IT0001206769;Sol;SOL.MI
IT0005282865;Reply;REY.MI
IT0005482333;Technoprobe;TPRO.MI
IE000OJ5TQP4;HANetf Future of Defence UCITS ETF Acc;NATO.MI
IT0000072618;Intesa Sanpaolo;ISP.MI
IT0005075764;Italian Wine Brands;IWB.MI
IT0003549422;Sanlorenzo;SL.MI
US92537N1081;Vertiv Holdings Co. Class A;VRT
NL00150001Q9;Stellantis;STLAM.MI
FR0000121014;Lvmh;MC.PA
FR0000121485;Kering;KER.PA
US91324P1021;UnitedHealth Group;UNH
US7223041028;PDD Holdings Inc;PDD
NL0000226223;STMicroelectronics;STMMI.MI
IT0004056880;Amplifon;AMP.MI
US98422D1054;Xpeng;XPEV
KYG596691041;Meituan Dianping;3690.HK
KYG970081173;Wuxi Bio;2269.HK
KYG8208B1014;JD.com;9618.HK
IT0003411417;Italian Exhibition Group;IEG.MI
FR0000125007;Saint Gobain;SGO.PA
FR0000121709;S.E.B.;SK.PA
NL0011585146;Ferrari;RACE.MI
FR0000044448;Nexans;NEX.PA
US0758871091;Becton Dickinson and;BDX
IT0005508921;Banca Monte Paschi Siena;BMPS.MI
NL0015001OJ9;MFE B;MFEB.MI
IT0004810054;Unipol;UNI.MI
US81141R1005;Sea Ltd. (Singapore) Sponsored ADR Class A;SE
US5500211090;Lululemon Athletica Inc.;LULU
ES0173516115;Repsol;REP.MC
US7170811035;Pfizer Inc.;PFE
IT0005244402;Bff Bank;BFF.MI
IE00BFZXGZ54;Invesco EQQQ Nasdaq-100 UCITS ETF Acc;EQAC.MI
IE00B579F325;Invesco Physical Gold ETC;SGLD.MI
NL0015000N33;Ariston Holding;ARIS.MI
DK0062498333;Novo Nordisk A-S (B);NOVO-B.CO
IT0001018362;Valsoia;VLS.MI
IT0000076502;Danieli;DAN.MI
IT0004171440;Zignago Vetro;ZV.MI
IE00BYZK4552;iShares Automation & Robotics UCITS ETF USD (Acc);RBOT.MI
IE00BJ0KDQ92;Xtrackers MSCI World UCITS ETF 1C;XDWD.MI
IE00B43HR379;iShares S&P 500 Health Care Sector UCITS ETF USD (Acc);IUHC.MI
CH0002432174;Bucher Industries AG;BUCN.SW
US0231351067;Amazon.com;AMZN
CH0225173167;Cembra Money Bank AG;CMBN.SW
US90353T1007;Uber Technologies;UBER
US64110L1061;Netflix;NFLX
CH1243598427;Sandoz;SDZ.SW
CH0210483332;Richemont N;CFR.SW
CH0011075394;Zurich Insurance N;ZURN.SW
DE0007236101;Siemens;SIE.DE
CH1175448666;Straumann N;STMN.SW
CH1499059983;Roche Ps;ROG.SW
CH0038863350;Nestle N;NESN.SW
CH0012005267;Novartis N;NOVN.SW
GB0002875804;Br American Tobacco;BATS.L
CH0012214059;Holcim Ltd;HOLN.SW
US89677Q1076;Trip.com Group;TCOM
US0567521085;Baidu.com;BIDU
US01609W1027;Alibaba Group;BABA
US88032Q1094;Tencent Holdings Ltd Unsponsored ADR;TCEHY
US0970231058;Boeing;BA
US0846707026;Berkshire Hath.B;BRK-B
NL0013654783;Prosus;PRX.AS
IT0003132476;ENI;ENI.MI
US02079K1079;Alphabet Class C;GOOG
CH0466642201;Helvetia Holding N;HELN.SW
US5949181045;Microsoft;MSFT
US61174X1090;Monster Beverage Corporation;MNST
GB0008706128;Lloyds Banking Group;LLOY.L
GB0031348658;Barclays Bank;BARC.L
KYG875721634;Tencent Holdings Ltd;0700.HK
KYG017191142;Alibaba Group;9988.HK
BMG2004J1036;Carnival;CCL
CNE1000003X6;Ping An Insurance Company of China;2318.HK
US0378331005;Apple;AAPL
KYG9830T1067;Xiaomi Corp;1810.HK
US1912161007;Coca-Cola;KO
NL0000235190;Airbus;AIR.PA
DE0007164600;Sap;SAP.DE
DE0005785604;Fresenius+Co.Kgaa;FRE.DE
FR0000124141;Veolia Environ.;VIE.PA
FR0000133308;Orange;ORA.PA
US23703Q2030;Daqq New Energy;DQ
US87151X1019;Symbotic Inc. Class A;SYM
DE0007664039;Volkswagen Vzo;VOW3.DE
CNE100000Q43;Agricultural Bank of China;1288.HK
CNE100000296;BYD Company;1211.HK
FR0000131104;Bnp Paribas Act.A;BNP.PA
